a	A	occurrence?id_SignBankVariant=373

send/mail	mail, send	occurrence?id_SignBankVariant=2493
(1)send/mail	mail, send	occurrence?id_SignBankVariant=4543
(2h)send/mail	mail, send	occurrence?id_SignBankVariant=4612
1p-send/mail:j	mail, send	occurrence?id_SignBankVariant=4487
i:send/mail-1p	mail, send	occurrence?id_SignBankVariant=4371

(2h)send/mail_2	mass mailing, send mail	occurrence?id_SignBankVariant=5941

senior	senior	occurrence?id_SignBankVariant=2494

senior-citizen	senior citizen	occurrence?id_SignBankVariant=2495

sensitive	easily offended, sensitive, touchy	occurrence?id_SignBankVariant=2496

sentence	sentence, statement	occurrence?id_SignBankVariant=2497
*sentence (grammar+sentence)	sentence, statement	occurrence?id_SignBankVariant=6100
sentence-pl	sentence, statement	occurrence?id_SignBankVariant=2498

separate	apart, part, separate, separated, split	occurrence?id_SignBankVariant=2499
separate_2	apart, part, separate, separated, split	occurrence?id_SignBankVariant=2500
separate_3	apart, part, separate, separated, split	occurrence?id_SignBankVariant=5952

#sept	#sept	occurrence?id_SignBankVariant=5577

serious	bitter, lemon, serious, sour, tart	occurrence?id_SignBankVariant=2501

service	minister, serve, server, service, wait on, waiter, waitress	occurrence?id_SignBankVariant=2502
(horns)service	minister, serve, server, service, wait on, waiter, waitress	occurrence?id_SignBankVariant=260
service* (service+agent)	minister, serve, server, service, wait on, waiter, waitress	occurrence?id_SignBankVariant=4031

service+agent	server, waiter, waitress	occurrence?id_SignBankVariant=4030

set-up	base, establish, found, set up	occurrence?id_SignBankVariant=2503
*set-up (mind+set-up)	base, establish, found, set up	occurrence?id_SignBankVariant=5409
set-up-3p-pl-arc	base, establish, found, set up	occurrence?id_SignBankVariant=6526
set-up:j	base, establish, found, set up	occurrence?id_SignBankVariant=4765

seven	seven	occurrence?id_SignBankVariant=2504
seven* (seven+hour)	seven	occurrence?id_SignBankVariant=4034
seven_2	seven	occurrence?id_SignBankVariant=5302

seven+hour	seven hours	occurrence?id_SignBankVariant=4033

seven-hours	seven hours	occurrence?id_SignBankVariant=2505

seven-months	seven months	occurrence?id_SignBankVariant=2506
seven-months_2	seven months	occurrence?id_SignBankVariant=6304

seven-weeks	seven weeks	occurrence?id_SignBankVariant=2507

seventeen	seventeen	occurrence?id_SignBankVariant=2508
seventeen_2	seventeen	occurrence?id_SignBankVariant=2509

seventh	seventh	occurrence?id_SignBankVariant=2510

seventy-eight	seventy-eight	occurrence?id_SignBankVariant=2511

seventy-five	seventy-five	occurrence?id_SignBankVariant=6660

seventy-nine	seventy-nine	occurrence?id_SignBankVariant=2512

seventy-seven	seventy-seven	occurrence?id_SignBankVariant=2513
seventy-seven_2	seventy-seven	occurrence?id_SignBankVariant=2514

seventy-six	seventy-six	occurrence?id_SignBankVariant=2515
seventy-six_2	seventy-six	occurrence?id_SignBankVariant=2516

sew	sew, sewing	occurrence?id_SignBankVariant=2517

sex/gender	gender, sex	occurrence?id_SignBankVariant=2518

ns-#sf	ns-#sf	occurrence?id_SignBankVariant=1946

shake-by-hands	shake, shaking a tree, shaking any object	occurrence?id_SignBankVariant=2519

shame	ashamed, shame	occurrence?id_SignBankVariant=2520
(2h)shame	ashamed, shame	occurrence?id_SignBankVariant=168

shampoo	shampoo, wash hair	occurrence?id_SignBankVariant=2521

shape/statue	figure, shape, statue	occurrence?id_SignBankVariant=2522
shape/statue-pl	figure, shape, statue	occurrence?id_SignBankVariant=2523

shark	shark	occurrence?id_SignBankVariant=5884

sharp	pointed object, sharp	occurrence?id_SignBankVariant=2524

shave	shave	occurrence?id_SignBankVariant=2525
(y)shave	shave	occurrence?id_SignBankVariant=368

shears/shave	scissors, shave, shears	occurrence?id_SignBankVariant=2526

sheep	lamb, sheep	occurrence?id_SignBankVariant=2527

sheet-cake	cake, sheet ake	occurrence?id_SignBankVariant=2528
*sheet-cake ((1h)good/thank-you+sheet-cake)	cake, sheet ake	occurrence?id_SignBankVariant=6131

shelf/floor	even, floor, level, mantle, shelf	occurrence?id_SignBankVariant=2529

shh	be quiet, shh	occurrence?id_SignBankVariant=5519
shh* (shh+confidential)	be quiet, shh	occurrence?id_SignBankVariant=4037
shh* (shh+hide)	be quiet, shh	occurrence?id_SignBankVariant=6331
shh* (shh+quiet_2)	be quiet, shh	occurrence?id_SignBankVariant=6556

shh+confidential	keep a secret	occurrence?id_SignBankVariant=4036

shh+hide	shh+hide	occurrence?id_SignBankVariant=6533

shh+quiet_2	shh+quiet_2	occurrence?id_SignBankVariant=6578

shine	bright, glow, shine, shining, shiny	occurrence?id_SignBankVariant=2530

shine_2	shine_2	occurrence?id_SignBankVariant=7935

ship	go by boat, ship	occurrence?id_SignBankVariant=2531

shock	shock	occurrence?id_SignBankVariant=5532
*shock ((2h)think+shock)	shock	occurrence?id_SignBankVariant=3172
*shock (think+shock)	shock	occurrence?id_SignBankVariant=4152

shoe	shoe	occurrence?id_SignBankVariant=2532
*shoe (rain+shoe)	shoe	occurrence?id_SignBankVariant=5386
*shoe (sleep+shoe)	shoe	occurrence?id_SignBankVariant=5535
shoe* (shoe+half-limb)	shoe	occurrence?id_SignBankVariant=4043

shoe+half-limb	boot	occurrence?id_SignBankVariant=4042

shoe-heel	high heels	occurrence?id_SignBankVariant=2533

shoot	shoot	occurrence?id_SignBankVariant=2534
shoot_2	shoot	occurrence?id_SignBankVariant=2537

shoot-arrow	archery, shoot an arrow	occurrence?id_SignBankVariant=2535
(5)shoot-arrow	archery, shoot an arrow	occurrence?id_SignBankVariant=6258
(cocked-8)shoot-arrow	archery, shoot an arrow	occurrence?id_SignBankVariant=219
(horns)shoot-arrow	archery, shoot an arrow	occurrence?id_SignBankVariant=261
shoot-arrow_2	archery, shoot an arrow	occurrence?id_SignBankVariant=2536

*shoot-basket ((2h)dribble+shoot-basket)	*shoot-basket ((2h)dribble+shoot-basket)	occurrence?id_SignBankVariant=3158

shore	beach, shore	occurrence?id_SignBankVariant=2538

short	brief, concise, quick, short	occurrence?id_SignBankVariant=2539

short-height	short, small	occurrence?id_SignBankVariant=2540

short-sleeve	short sleeves	occurrence?id_SignBankVariant=2541
*short-sleeve (arm+short-sleeve)	short sleeves	occurrence?id_SignBankVariant=3257

shorts	shorts	occurrence?id_SignBankVariant=2542
shorts_2	shorts	occurrence?id_SignBankVariant=2543

should	have to, necessary, need, need to, needs, ought to, should, supposed to	occurrence?id_SignBankVariant=2544

shovel/dig	dig, shovel	occurrence?id_SignBankVariant=2545

show	demonstrate, demonstration, example, give an example, represent, reveal, sample, show, symbol	occurrence?id_SignBankVariant=2546
(m)show	demonstrate, demonstration, example, give an example, represent, reveal, sample, show, symbol	occurrence?id_SignBankVariant=279
(r)show	demonstrate, demonstration, example, give an example, represent, reveal, sample, show, symbol	occurrence?id_SignBankVariant=323
(r)show* ((r)show+agent)	demonstrate, demonstration, example, give an example, represent, reveal, sample, show, symbol	occurrence?id_SignBankVariant=3187
show* (show+agent)	demonstrate, demonstration, example, give an example, represent, reveal, sample, show, symbol	occurrence?id_SignBankVariant=4046
show-1p	demonstrate, demonstration, example, give an example, represent, reveal, sample, show, symbol	occurrence?id_SignBankVariant=2547
show-2p	demonstrate, demonstration, example, give an example, represent, reveal, sample, show, symbol	occurrence?id_SignBankVariant=2548
show-2p* (show-2p+agent)	demonstrate, demonstration, example, give an example, represent, reveal, sample, show, symbol	occurrence?id_SignBankVariant=6703
show:j	demonstrate, demonstration, example, give an example, represent, reveal, sample, show, symbol	occurrence?id_SignBankVariant=4700

show+agent	demonstrator	occurrence?id_SignBankVariant=4045

(r)show+agent	demonstrator	occurrence?id_SignBankVariant=3186

show-2p+agent	show-2p+agent	occurrence?id_SignBankVariant=6705

shower	shower	occurrence?id_SignBankVariant=2549

shrimp	shrimp	occurrence?id_SignBankVariant=5805

shucks	shucks	occurrence?id_SignBankVariant=4540

shut	close, shut	occurrence?id_SignBankVariant=2550
*shut (hear+shut)	close, shut	occurrence?id_SignBankVariant=3717

shut-up	shut up	occurrence?id_SignBankVariant=2551

shy	bashful, shy	occurrence?id_SignBankVariant=2552
shy_2	bashful, shy	occurrence?id_SignBankVariant=2553

sick	disease, ill, illness, sick, sickness	occurrence?id_SignBankVariant=2554
sick-continuative	disease, ill, illness, sick, sickness	occurrence?id_SignBankVariant=4618
sick-resultative	disease, ill, illness, sick, sickness	occurrence?id_SignBankVariant=6519

sick-of	annoy, annoyed, get on someone's nerves, irritate, irritated, nuisance, sick of (something)	occurrence?id_SignBankVariant=4562

sick/silly	come on, not funny	occurrence?id_SignBankVariant=2555

side	side	occurrence?id_SignBankVariant=2556

sign	sign language	occurrence?id_SignBankVariant=2557
*sign* (ns-america+sign+language)	sign language	occurrence?id_SignBankVariant=3883
sign* (sign+language)	sign language	occurrence?id_SignBankVariant=4049

sign+language	sign language	occurrence?id_SignBankVariant=4048

signature	register, sign in, sign up, signature	occurrence?id_SignBankVariant=2558
signature_2	register, sign in, sign up, signature	occurrence?id_SignBankVariant=2559

silly	absurd, fool, foolish, ridiculous, silly	occurrence?id_SignBankVariant=2560
(2h)silly* ((2h)silly+agent)	absurd, fool, foolish, ridiculous, silly	occurrence?id_SignBankVariant=6436

(2h)silly+agent	(2h)silly+agent	occurrence?id_SignBankVariant=6471

silver	shiny, silver	occurrence?id_SignBankVariant=2561

simmer	boiling mad, resentful, simmering, smoldering	occurrence?id_SignBankVariant=2562

simple	simple	occurrence?id_SignBankVariant=2563

ns-singapore	Singapore	occurrence?id_SignBankVariant=2078

single	single	occurrence?id_SignBankVariant=2564
bachelor	bachelor	occurrence?id_SignBankVariant=499
swinging-single	swinging single	occurrence?id_SignBankVariant=2754

sister	sister	occurrence?id_SignBankVariant=2565
*sister (half_3+sister)	sister	occurrence?id_SignBankVariant=5477
*sister (turn+sister)	sister	occurrence?id_SignBankVariant=4202
sister* (sister+brother)	sister	occurrence?id_SignBankVariant=5598

sister+brother	sister+brother	occurrence?id_SignBankVariant=5860

sit	sit	occurrence?id_SignBankVariant=2566
(1h)sit	sit	occurrence?id_SignBankVariant=4611
sit* (sit+dcl:c"couch shaped object")	sit	occurrence?id_SignBankVariant=5950
sit* (sit+dcl:crvd-b"couch shaped object")	sit	occurrence?id_SignBankVariant=4052
sit* (sit+dcl:crvd-u"couch shaped object")	sit	occurrence?id_SignBankVariant=4055
sit-continuative	sit	occurrence?id_SignBankVariant=4378

sit+dcl:c"couch shaped object"	sit+dcl:c"couch shaped object"	occurrence?id_SignBankVariant=5955

sit+dcl:crvd-b"couch shaped object"	couch	occurrence?id_SignBankVariant=4051

sit+dcl:crvd-u"couch shaped object"	couch	occurrence?id_SignBankVariant=4054

situation	situation	occurrence?id_SignBankVariant=2567

six	six	occurrence?id_SignBankVariant=2568
*six_2 (five+six_2)	six	occurrence?id_SignBankVariant=5247
six* (six+half)	six	occurrence?id_SignBankVariant=5264
six* (six+hour)	six	occurrence?id_SignBankVariant=4058
six_2* (six_2+zero_3)	six	occurrence?id_SignBankVariant=6528

six+half	six+half	occurrence?id_SignBankVariant=5303

six+hour	six hours	occurrence?id_SignBankVariant=4057

six-dollars	six dollars	occurrence?id_SignBankVariant=2569

six-hours	six hours	occurrence?id_SignBankVariant=2570

six-months	six months	occurrence?id_SignBankVariant=2571

six-weeks	six weeks	occurrence?id_SignBankVariant=2572

six_2+zero_3	six_2+zero_3	occurrence?id_SignBankVariant=6530

sixteen	sixteen	occurrence?id_SignBankVariant=2573
sixteen_2	sixteen	occurrence?id_SignBankVariant=2574
sixteen_3	sixteen	occurrence?id_SignBankVariant=2575

sixth	sixth	occurrence?id_SignBankVariant=2576

sixty	sixty	occurrence?id_SignBankVariant=4732

sixty-eight	sixty-eight	occurrence?id_SignBankVariant=2577

sixty-nine	sixty-nine	occurrence?id_SignBankVariant=2578
*sixty-nine (nineteen_2+sixty-nine)	sixty-nine	occurrence?id_SignBankVariant=6398

sixty-seven	sixty-seven	occurrence?id_SignBankVariant=2579

sixty-six	sixty-six	occurrence?id_SignBankVariant=2580
sixty-six_2	sixty-six	occurrence?id_SignBankVariant=2581

size	inches, measure, miles, size	occurrence?id_SignBankVariant=2582

skateboard	skateboard	occurrence?id_SignBankVariant=5837

ski	skiing	occurrence?id_SignBankVariant=2583
(2h)alt.ski	skiing	occurrence?id_SignBankVariant=4676

skill	expert, good-at, proficient, skill, skilled, talent, talented	occurrence?id_SignBankVariant=2584
(8)skill	expert, good-at, proficient, skill, skilled, talent, talented	occurrence?id_SignBankVariant=6468

skin	skin	occurrence?id_SignBankVariant=2585
(g)skin	skin	occurrence?id_SignBankVariant=253

skirt	skirt	occurrence?id_SignBankVariant=2586

skittish	skittish	occurrence?id_SignBankVariant=5820

skunk	skunk	occurrence?id_SignBankVariant=2587
(8)skunk	skunk	occurrence?id_SignBankVariant=191

sky	sky	occurrence?id_SignBankVariant=2588

skyscraper	skyscraper	occurrence?id_SignBankVariant=2589

slave	slave	occurrence?id_SignBankVariant=2590

sleep	sleep, sleepy	occurrence?id_SignBankVariant=2591
sleep* (sleep+(f)sunrise)	sleep, sleepy	occurrence?id_SignBankVariant=5420
sleep* (sleep+dress/clothes)	sleep, sleepy	occurrence?id_SignBankVariant=4061
sleep* (sleep+fs-bag)	sleep, sleepy	occurrence?id_SignBankVariant=5623
sleep* (sleep+shoe)	sleep, sleepy	occurrence?id_SignBankVariant=5534

sleep+(f)sunrise	sleep+(f)sunrise	occurrence?id_SignBankVariant=5833

sleep+dress/clothes	pajamas	occurrence?id_SignBankVariant=4060

sleep+fs-bag	sleep+fs-bag	occurrence?id_SignBankVariant=5873

sleep+shoe	sleep+shoe	occurrence?id_SignBankVariant=5844

slice	cut with knife, slice	occurrence?id_SignBankVariant=2592
*slice (red+slice)	cut with knife, slice	occurrence?id_SignBankVariant=4005
slice_2	cut with knife, slice	occurrence?id_SignBankVariant=5909

slice/chop	chop, cut, slice	occurrence?id_SignBankVariant=5908

slide	slide	occurrence?id_SignBankVariant=5869

sliding-doors	sliding doors	occurrence?id_SignBankVariant=2593

slim	skinny, slim, thin	occurrence?id_SignBankVariant=2594
slim_2	skinny, slim, thin	occurrence?id_SignBankVariant=2595

slipper	slippers	occurrence?id_SignBankVariant=2596
slippers	slippers	occurrence?id_SignBankVariant=2597

slippery	slick, slippery	occurrence?id_SignBankVariant=2598

slow	slow, slowly	occurrence?id_SignBankVariant=2599

slow-down	slow down	occurrence?id_SignBankVariant=6430

small	little, small, tiny	occurrence?id_SignBankVariant=2600
(l-x)small	little, small, tiny	occurrence?id_SignBankVariant=4793

small-amount	a bit, a little bit, a small amount	occurrence?id_SignBankVariant=4463

smell	fragrance, odor, scent, smell	occurrence?id_SignBankVariant=2601

smelly	smelly, stink	occurrence?id_SignBankVariant=2602

smile	grin, smile, smily	occurrence?id_SignBankVariant=2603
smile_2	grin, smile, smily	occurrence?id_SignBankVariant=2604
smile_3	grin, smile, smily	occurrence?id_SignBankVariant=2605

smirk	smirk	occurrence?id_SignBankVariant=4456

smoke	smoking	occurrence?id_SignBankVariant=2606
smoke_2	smoking	occurrence?id_SignBankVariant=2607

smooth	fluent, smooth, smoothly	occurrence?id_SignBankVariant=2608
smooth_2	fluent, smooth, smoothly	occurrence?id_SignBankVariant=5905

smooth-surface	smooth (surface)	occurrence?id_SignBankVariant=2609

snake	snake	occurrence?id_SignBankVariant=2610
snake* (snake+wag)	snake	occurrence?id_SignBankVariant=4064

snake+wag	rattlesnake	occurrence?id_SignBankVariant=4063

sneeze	sneeze	occurrence?id_SignBankVariant=2611

snob	snob	occurrence?id_SignBankVariant=2612
(1)snob	snob	occurrence?id_SignBankVariant=53

snorkel	snorkel, snorkeling	occurrence?id_SignBankVariant=2613

snow	snow	occurrence?id_SignBankVariant=2614
snow* (snow+motorcycle)	snow	occurrence?id_SignBankVariant=4067

snow+motorcycle	snowmobile	occurrence?id_SignBankVariant=4066

snowboard	snowboard, snowboarding	occurrence?id_SignBankVariant=2615

snowmobile	moped, motorcycle, snowmobile	occurrence?id_SignBankVariant=2616

#so	#so	occurrence?id_SignBankVariant=4690

so-so	average, fair, indifferent, mediocre, so-so	occurrence?id_SignBankVariant=2617

soap	soap	occurrence?id_SignBankVariant=2618
*soap (washing-machine+soap)	soap	occurrence?id_SignBankVariant=4235
soap* (soap+washing-machine)	soap	occurrence?id_SignBankVariant=4070

soap+washing-machine	laundry detergent	occurrence?id_SignBankVariant=4069

social-work	social work	occurrence?id_SignBankVariant=2619

social/interact	interact, social	occurrence?id_SignBankVariant=2620
(5)social/interact	interact, social	occurrence?id_SignBankVariant=4424
(5)social/interact_2	interact, social	occurrence?id_SignBankVariant=7791

society	society	occurrence?id_SignBankVariant=2621
society* (society+agent)	society	occurrence?id_SignBankVariant=5498

society+agent	society+agent	occurrence?id_SignBankVariant=5870

socks	socks	occurrence?id_SignBankVariant=2622

soda	coke, pop, soda	occurrence?id_SignBankVariant=2623

soft	soft	occurrence?id_SignBankVariant=2624
*soft ((2h)heart+soft)	soft	occurrence?id_SignBankVariant=7925
*soft (heart+soft)	soft	occurrence?id_SignBankVariant=5579

some	part, piece, portion, section, some	occurrence?id_SignBankVariant=2625
some* (some+one)	part, piece, portion, section, some	occurrence?id_SignBankVariant=6569

some+one	some+one	occurrence?id_SignBankVariant=6584

something/one	somebody, someone, something	occurrence?id_SignBankVariant=2626

sometimes	every so often, once in a while, periodically, seldom, sometimes	occurrence?id_SignBankVariant=2627

son	baby boy, son	occurrence?id_SignBankVariant=2628
*son (fs-grand+son)	baby boy, son	occurrence?id_SignBankVariant=5605
*son (fs-step+son)	baby boy, son	occurrence?id_SignBankVariant=5992

soon	shortly, soon	occurrence?id_SignBankVariant=2629

sophisticated	sophisticated	occurrence?id_SignBankVariant=2630

sophomore	sophomore	occurrence?id_SignBankVariant=2631

sophomore_2	sophomore	occurrence?id_SignBankVariant=2632
(rd)sophomore_2	sophomore	occurrence?id_SignBankVariant=331

sore	sore	occurrence?id_SignBankVariant=5676

sorry	apologize, apology, pardon, regret, sorry	occurrence?id_SignBankVariant=2633

soup	soup, spoon	occurrence?id_SignBankVariant=2634

south	south, southern	occurrence?id_SignBankVariant=2636
south* (south+(a)ns-africa)	south, southern	occurrence?id_SignBankVariant=4073
south* (south+ns-africa)	south, southern	occurrence?id_SignBankVariant=4076
south* (south+ns-america)	south, southern	occurrence?id_SignBankVariant=5492
south_2	south, southern	occurrence?id_SignBankVariant=2637

south+(a)ns-africa	South Africa	occurrence?id_SignBankVariant=4072

south+ns-africa	South Africa	occurrence?id_SignBankVariant=4075

south+ns-america	south+ns-america	occurrence?id_SignBankVariant=5862

spade	spade	occurrence?id_SignBankVariant=5868

spaghetti	spaghetti	occurrence?id_SignBankVariant=2638
spaghetti_2	spaghetti	occurrence?id_SignBankVariant=2639

spank	hit, spank, swat	occurrence?id_SignBankVariant=2640

spat	spat	occurrence?id_SignBankVariant=6044

speakers	loudspeaker, speaker	occurrence?id_SignBankVariant=2641
speakers_2	loudspeaker, speaker	occurrence?id_SignBankVariant=2642

special/except	except, special, unique	occurrence?id_SignBankVariant=2643

specialty	major, specialize, specialty	occurrence?id_SignBankVariant=2644
(b)specialty	major, specialize, specialty	occurrence?id_SignBankVariant=206
(nd-b)specialty	major, specialize, specialty	occurrence?id_SignBankVariant=289
specialty* (specialty+agent)	major, specialize, specialty	occurrence?id_SignBankVariant=5169

specialty+agent	specialty+agent	occurrence?id_SignBankVariant=5221

specific	specific	occurrence?id_SignBankVariant=4786

#speech	#speech	occurrence?id_SignBankVariant=6614

speech/oral	oral, speech, speechreading	occurrence?id_SignBankVariant=2645
(o)speech/oral	oral, speech, speechreading	occurrence?id_SignBankVariant=303

spell	fingerspell, fingerspelling, spelling	occurrence?id_SignBankVariant=2646

spend	spend	occurrence?id_SignBankVariant=2647
spend-all	spend	occurrence?id_SignBankVariant=2648

*sphere (earth+sphere)	*sphere (earth+sphere)	occurrence?id_SignBankVariant=3526

spicy	hot, spicy	occurrence?id_SignBankVariant=2649

spider	arachnid, spider	occurrence?id_SignBankVariant=2650

spill	spill	occurrence?id_SignBankVariant=2651

spin	spin, turn around	occurrence?id_SignBankVariant=2652
*(nd-c)spin (dry+(nd-c)spin)	spin, turn around	occurrence?id_SignBankVariant=3493

spin-toy	spin toy, top	occurrence?id_SignBankVariant=5891

spinach	spinach	occurrence?id_SignBankVariant=5832

spiral	spiral	occurrence?id_SignBankVariant=5904

spit	spit	occurrence?id_SignBankVariant=2653

spread	spill and spread around, spread	occurrence?id_SignBankVariant=2654

spring	spring	occurrence?id_SignBankVariant=4538

sprinkler	lawn sprinkler, sprinkler	occurrence?id_SignBankVariant=2655
*sprinkler (water+sprinkler)	lawn sprinkler, sprinkler	occurrence?id_SignBankVariant=4247

square	bulletin board, notice, poster, sign, square	occurrence?id_SignBankVariant=2656
*square (door+square)	bulletin board, notice, poster, sign, square	occurrence?id_SignBankVariant=3487
*square (movie+square)	bulletin board, notice, poster, sign, square	occurrence?id_SignBankVariant=3849
*square (paper+square)	bulletin board, notice, poster, sign, square	occurrence?id_SignBankVariant=3929
*square-horizontal ((2h)plant-seeds+square-horizontal)	bulletin board, notice, poster, sign, square	occurrence?id_SignBankVariant=6028
square* (square+door)	bulletin board, notice, poster, sign, square	occurrence?id_SignBankVariant=4079

square+door	cabinets	occurrence?id_SignBankVariant=4078

squared	squared	occurrence?id_SignBankVariant=2657
squared_2	squared	occurrence?id_SignBankVariant=2658

squash	squash	occurrence?id_SignBankVariant=6045

squirrel	squirrel	occurrence?id_SignBankVariant=2659

#ss	#ss	occurrence?id_SignBankVariant=37

ns-st-patrick	St. Patrick, St. Patrick's Day	occurrence?id_SignBankVariant=6396
ns-st-patrick* (ns-st-patrick+day)	St. Patrick, St. Patrick's Day	occurrence?id_SignBankVariant=5545

ns-st-patrick+day	ns-st-patrick+day	occurrence?id_SignBankVariant=5547

stab	backtalk, stab, stab in the back, stab with a knife	occurrence?id_SignBankVariant=2660

stage	stage	occurrence?id_SignBankVariant=2661

stamp	postage stamps, stamps	occurrence?id_SignBankVariant=2662
stamp_2	postage stamps, stamps	occurrence?id_SignBankVariant=6413

stamp-seal	approve, give seal of approval, seal, stamp	occurrence?id_SignBankVariant=2663

stand	stand, stand up	occurrence?id_SignBankVariant=2664
stand-continuative	stand, stand up	occurrence?id_SignBankVariant=6441

stand-up	arise, get up, resurrection, stand up	occurrence?id_SignBankVariant=2665
stand-up* (stand-up+ascend)	arise, get up, resurrection, stand up	occurrence?id_SignBankVariant=4082

stand-up+ascend	resurrection	occurrence?id_SignBankVariant=4081

stapler	stapler	occurrence?id_SignBankVariant=5652

star	star	occurrence?id_SignBankVariant=2666
star* (star+bomb)	star	occurrence?id_SignBankVariant=5368

star+bomb	star+bomb	occurrence?id_SignBankVariant=5222

start	begin, commence, originate, start	occurrence?id_SignBankVariant=2667

state	state	occurrence?id_SignBankVariant=2668

statistics	statistics	occurrence?id_SignBankVariant=2669
statistics* (statistics+agent)	statistics	occurrence?id_SignBankVariant=5961

statistics+agent	statistics+agent	occurrence?id_SignBankVariant=6031

stay	remain, stay	occurrence?id_SignBankVariant=4346
(1h)stay	remain, stay	occurrence?id_SignBankVariant=111
stay_2	remain, stay	occurrence?id_SignBankVariant=4687

steal	bandit, burglar, burglary, crook, embezzle, embezzling, kidnap, loot pickpocket, rob, robber, robbery, steal, stole, stolen, theft, thief, thievery, thieving	occurrence?id_SignBankVariant=2670
(1h)steal	bandit, burglar, burglary, crook, embezzle, embezzling, kidnap, loot pickpocket, rob, robber, robbery, steal, stole, stolen, theft, thief, thievery, thieving	occurrence?id_SignBankVariant=4333
steal_2	bandit, burglar, burglary, crook, embezzle, embezzling, kidnap, loot pickpocket, rob, robber, robbery, steal, stole, stolen, theft, thief, thievery, thieving	occurrence?id_SignBankVariant=6412

stealthy	secretive, sneakily, sneaky, stealth, stealthy	occurrence?id_SignBankVariant=2671

steam	smoke, steam	occurrence?id_SignBankVariant=2672

steep	incline, steep	occurrence?id_SignBankVariant=2673

fs-step+daughter	fs-step+daughter	occurrence?id_SignBankVariant=5775

fs-step+mother	fs-step+mother	occurrence?id_SignBankVariant=6521

fs-step+son	fs-step+son	occurrence?id_SignBankVariant=6036

stepladder	ladder, stepladder	occurrence?id_SignBankVariant=2674

steps	steps, up steps, upstairs	occurrence?id_SignBankVariant=2675

stick-on-surface	stick on surface	occurrence?id_SignBankVariant=6594

stick-on-throat	stick on throat	occurrence?id_SignBankVariant=6593

sticky	sticky	occurrence?id_SignBankVariant=2676
(1h)sticky	sticky	occurrence?id_SignBankVariant=112

still	still, yet	occurrence?id_SignBankVariant=2677
(1h)still	still, yet	occurrence?id_SignBankVariant=5261

stimulate	stimulate	occurrence?id_SignBankVariant=2678

sting	sting	occurrence?id_SignBankVariant=2679

sting-face	sting, sting on the face	occurrence?id_SignBankVariant=2680

stink	smelly, stink	occurrence?id_SignBankVariant=2681

stir	stir	occurrence?id_SignBankVariant=2682
stir_2	stir	occurrence?id_SignBankVariant=2683

stitch	sew, sewing, stitch, stitching	occurrence?id_SignBankVariant=2684

stockings	stockings	occurrence?id_SignBankVariant=5865

stomach	abdomen, guts, stomach	occurrence?id_SignBankVariant=2685
abdomen	abdomen, guts, stomach	occurrence?id_SignBankVariant=377

stomach-cramps	stomach cramps	occurrence?id_SignBankVariant=5903

stop	cease, stop	occurrence?id_SignBankVariant=2686
(1h)stop	cease, stop	occurrence?id_SignBankVariant=6895

stoplight	stoplight, traffic light	occurrence?id_SignBankVariant=2687

storm/clouds	hurricane, storm clouds	occurrence?id_SignBankVariant=2688
cloud	cloud	occurrence?id_SignBankVariant=803
cloud_2	cloud	occurrence?id_SignBankVariant=804
cloud_3	cloud	occurrence?id_SignBankVariant=6367

story	fable, message, parable, story, tale	occurrence?id_SignBankVariant=2690
(crvd-b)story	fable, message, parable, story, tale	occurrence?id_SignBankVariant=225
story* (story+agent)	fable, message, parable, story, tale	occurrence?id_SignBankVariant=4085
story_2	fable, message, parable, story, tale	occurrence?id_SignBankVariant=2692

story+agent	storyteller	occurrence?id_SignBankVariant=4084

story-tell	tell a story	occurrence?id_SignBankVariant=2691

straight	direct, sober, straight	occurrence?id_SignBankVariant=2693

strange	odd, strange, unusual, weird	occurrence?id_SignBankVariant=2694

strangle	shake, strangle	occurrence?id_SignBankVariant=2695

straw	straw (for drinking)	occurrence?id_SignBankVariant=2696
straw_2	straw (for drinking)	occurrence?id_SignBankVariant=2697

strawberry	strawberry	occurrence?id_SignBankVariant=2698

stray/deviate	astray, deviate, go off topic, off course, off target, stray, wander	occurrence?id_SignBankVariant=2699

strict	strict	occurrence?id_SignBankVariant=2700
(2h)strict	strict	occurrence?id_SignBankVariant=6399

string	string	occurrence?id_SignBankVariant=2701

strip	strip, undress	occurrence?id_SignBankVariant=2702

strip-paint	remove paint, strip paint	occurrence?id_SignBankVariant=2703

stripes	striped clothing, stripes	occurrence?id_SignBankVariant=2704
(4)stripes	striped clothing, stripes	occurrence?id_SignBankVariant=177

strong	brave, brawny, burly, confidence, courageous, might, mighty, powerful, strength, strong	occurrence?id_SignBankVariant=2705
*strong (face+strong)	brave, brawny, burly, confidence, courageous, might, mighty, powerful, strength, strong	occurrence?id_SignBankVariant=3580
